,,Duplicate,Permno,Permco,,
BOX,2,,1,1,Different,
AM,2,,1,1,Different,
ARCT,3,1,1,1,Different,
MUSA,2,,1,1,Different,
PANL,2,,1,1,Different,
COUP,2,,1,1,Different,
SSE,2,,1,1,Different,
WMS,2,,1,1,Different,
DM,2,,1,1,Different,
CRC,2,,1,1,Different,
MPG,3,1,1,1,Different,
LIFE,2,,1,1,Different,
TRU,2,,1,1,Different,
FLOW,2,,1,1,Different,
CSTR,2,,1,1,Different,
CWH,3,1,1,1,Different,
JAG,2,,1,1,Different,
EXXI,2,,1,1,Different,
HCC,2,,1,1,Different,
WRLS,2,,1,1,Different,
SE,2,,1,1,Different,
ENTR,3,1,1,1,Different,
ACT,2,,1,1,Different,
CMD,2,,1,1,Different,
LSI,2,,1,1,Different,
WEX,2,,1,1,Different,
LTM,2,,1,1,Different,
SPP,2,,1,1,Different,
ALT,2,,1,1,Different,
SPMD,3,1,1,1,Different,
EWU,3,1,1,1,Different ETF,
ROSE,2,,1,1,Different*,
MPO,1,,1,,Gap,possible bankruptcy
NIHD,1,,1,,Gap,possible bankruptcy
GNK,1,,1,,Gap,possible bankruptcy
VRS,1,,1,,Gap,possible bankruptcy
SD,1,,1,,Gap,possible bankruptcy
UPL,1,,1,,Gap,possible bankruptcy
GDP,1,,1,,Gap,possible bankruptcy
NES,1,,1,,Gap,possible bankruptcy
GLF,1,,1,,Gap,possible bankruptcy
ERUS,3,1,1,1,I vol has 2017 data,
SR,2,,1,1,I vol has data for the later,
ADC,3,1,1,1,Ignore ADC 366,
ALTR,2,,1,1,Ivol available for former,
BXG,2,,1,1,Ivol available for former,
MAG,2,,1,1,Ivol available for latter,
BIOC,2,,1,1,Ivol data available for latter,
YMLP,3,1,1,1,Ivol data for latter,
TRLA,2,,1,1,Ivol has data for the former,
TU,2,1,1,,Just Permno changes one fine day. Price is almost the same.,
TAL,2,,1,1,Merger and changed permco,
EMC,1,1,,,Merger- two entries,
LLTC,1,1,,,Merger- two entries,
STSA,1,1,,,Merger- two entries,
DELL,1,1,,,Merger- two entries,
ICLR,2,1,1,,Reregister?,
WPZ,3,1,1,1,Same,
PKY,2,,1,1,Same,
SRC,3,1,1,1,Same,
CNOB,3,1,1,1,Same,
NWSA,2,,1,1,Same,
NWS,2,,1,1,Same,
S,3,1,1,1,Same,
EVHC,3,1,1,1,Same,
ATLS,3,1,1,1,Same,
PZG,3,1,1,1,Same,
IGT,3,1,1,1,Same,
GCI,2,,1,1,Same,
ENR,2,,1,1,Same,
MSG,2,,1,1,Same,
PNK,3,1,1,1,Same,
VBIV,3,1,1,1,Same,
CCE,3,1,1,1,Same,
FCG,3,1,1,1,Same,
HTZ,2,,1,1,Same,
AA,2,,1,1,Same,
IMOS,3,1,1,1,Same,
FTI,3,1,1,1,Same,
BKI,2,,1,1,Same,
FOR,3,1,1,1,Same,
LOV,2,,1,1,Same,
CASC,2,,1,1,Same,
STL,3,1,1,1,Same,
DWSN,3,1,1,1,Same,
JCI,3,1,1,1,Same,
ES,2,,1,1,Same,
CB,3,1,1,1,Same,
AGN,3,1,1,1,Same,
ETP,2,,1,1,Same,
TIVO,3,1,1,1,Same,
WCN,3,1,1,1,Same,
LMCA,3,1,1,1,Same company,
NBRV,2,1,1,,Same ticker and price,duplicate date for change
KNX,3,1,1,1,Same ticker and price,
BTU,2,,1,1,Same with gap,
GDI,2,,1,1,Same with gap,
BBX,2,,1,1,Same with gap,
WWAV,2,1,1,,Share Class,
NYLD,2,1,1,,Share Class,
UA,2,1,1,,Share Class,
LGF,2,1,1,,Share Class,
HEI,2,1,1,,Share Class,
GTN,2,1,1,,Share Class,
WSO,2,1,1,,Share Class,
MKC,2,1,1,,Share Class,
LEN,2,1,1,,Share Class,
TAP,2,1,1,,Share Class,
BIO,2,1,1,,Share Class,
STZ,2,1,1,,Share Class,
CBS,2,1,1,,Share Class,
AGM,2,1,1,,Share Class,
GEF,2,1,1,,Share Class,
Z,1,,1,,Share Class but no overlap of dates,
GOOG,1,,1,,Share Class change,
HVT,2,1,1,,Share Class same ticker,
GASX,1,,1,,Sharebuy back - two entries,ETF
WMGI,3,1,1,1,Similar,
DLPH,2,,1,1,Similar,
ANGI,3,1,1,1,Similar,
CMLP,3,1,1,1,Similar,
KCG,3,1,1,1,Similar,
UBS,3,1,1,1,Similar,
GSM,3,1,1,1,Similar,
HOME,3,1,1,1,Similar,
GPT,3,1,1,1,Similar,price change
UBNK,3,1,1,1,Similar,
OILD,2,,1,1,Similar ETF,
OILU,2,,1,1,Similar ETF,
WPP,2,,1,1,Ticker Reuse,
EGAS,0,,,,,
JJSF,0,,,,,
PLXS,0,,,,,
HGR,,,,,,
ORCL,0,,,,,
MSFT,0,,,,,
ACUR,0,,,,,
TROW,0,,,,,
HON,0,,,,,
AMRC,0,,,,,
AKRX,0,,,,,
TECD,0,,,,,
RGEN,0,,,,,
AT,0,,,,,
BWC,0,,,,,
BWXT,0,,,,,
CIS,0,,,,,
BEAM,0,,,,,
BWINB,0,,,,,
INDB,0,,,,,
DSS,0,,,,,
CLDX,0,,,,,
SIGM,0,,,,,
CY,0,,,,,
TMP,0,,,,,
BCPC,0,,,,,
XOMA,0,,,,,
AMAG,0,,,,,
TCB,0,,,,,
TCF,0,,,,,
ASTE,0,,,,,
NAVG,0,,,,,
WERN,0,,,,,
SKYW,0,,,,,
REFR,0,,,,,
AMWD,0,,,,,
MDCI,0,,,,,
ADM,0,,,,,
AAN,0,,,,,
VIVO,0,,,,,
CLFD,0,,,,,
WTS,0,,,,,
FNB,0,,,,,
LAKE,0,,,,,
ACET,0,,,,,
BRLI,0,,,,,
FSYS,0,,,,,
HLS,0,,,,,
FISV,0,,,,,
FCNCA,0,,,,,
RWC,0,,,,,
HTLD,0,,,,,
CYTR,0,,,,,
RENT,0,,,,,
OSUR,0,,,,,
BWS,0,,,,,
CAL,0,,,,,
BC,0,,,,,
DXYN,0,,,,,
UIS,0,,,,,
WSFS,0,,,,,
CERN,0,,,,,
WBS,0,,,,,
MKL,0,,,,,
CMVT,0,,,,,
CDR,0,,,,,
AXGN,0,,,,,
ACMP,0,,,,,
FLIC,0,,,,,
FBP,0,,,,,
ASMI,0,,,,,
AVD,0,,,,,
PLAB,0,,,,,
CRMT,0,,,,,
GASL,0,,,,,
AGII,1,1,,,,
OFG,0,,,,,
RETL,0,,,,,
CATO,0,,,,,
FBNC,0,,,,,
WSBC,0,,,,,
KO,0,,,,,
SAFM,1,1,,,,
ECT,0,,,,,
UBSI,0,,,,,
ENV,0,,,,,
CCC,0,,,,,
DXLG,0,,,,,
SKS,0,,,,,
WASH,0,,,,,
CDNS,0,,,,,
ED,0,,,,,
LIT,0,,,,,
CHCO,0,,,,,
BRY,0,,,,,
EBIX,0,,,,,
CECE,0,,,,,
FICO,0,,,,,
CNMD,0,,,,,
CELG,0,,,,,
HBNC,0,,,,,
ATU,1,1,,,,
ACO,0,,,,,
XRAY,0,,,,,
FAST,0,,,,,
CPF,0,,,,,
HRTX,0,,,,,
LABL,0,,,,,
AIRM,0,,,,,
CRK,0,,,,,
GDOT,0,,,,,
DTE,0,,,,,
MATX,0,,,,,
IMKTA,0,,,,,
DD,0,,,,,
CBM,0,,,,,
AIN,0,,,,,
IIVI,0,,,,,
ETN,0,,,,,
SIVB,0,,,,,
MITK,0,,,,,
CLH,0,,,,,
CTBI,0,,,,,
WPPGY,0,,,,,
XOM,0,,,,,
IPAR,0,,,,,
MGM,0,,,,,
MXIM,0,,,,,
WM,0,,,,,
BMC,0,,,,,
KKR,1,1,,,,
CHFC,0,,,,,
EMLC,0,,,,,
MCP,0,,,,,
OXF,0,,,,,
DY,0,,,,,
QUAD,0,,,,,
RLD,0,,,,,
VRNG,0,,,,,
FH,0,,,,,
AERL,0,,,,,
IKGH,0,,,,,
LINU,0,,,,,
QLIK,0,,,,,
SMT,0,,,,,
AMLP,0,,,,,
GMT,0,,,,,
GATX,0,,,,,
INXX,0,,,,,
GORO,0,,,,,
IL,0,,,,,
GD,0,,,,,
SCIF,0,,,,,
NEWN,0,,,,,
REE,0,,,,,
GE,0,,,,,
LH,0,,,,,
SCHP,0,,,,,
ONB,0,,,,,
WSR,0,,,,,
PBCT,0,,,,,
ELD,1,1,,,,
SIG,0,,,,,
GMAN,0,,,,,
MMYT,0,,,,,
NXPI,0,,,,,
PATH,1,1,,,,
PSTB,0,,,,,
RP,0,,,,,
TSRX,1,1,,,,
COR,0,,,,,
ECON,0,,,,,
ENZL,0,,,,,
CBRX,0,,,,,
JNP,0,,,,,
FRBK,0,,,,,
GNCMA,0,,,,,
LNN,0,,,,,
MEAS,0,,,,,
ECNS,0,,,,,
MGPI,1,1,,,,
PPHM,0,,,,,
EPHE,0,,,,,
RNO,0,,,,,
GNR,0,,,,,
SFUN,0,,,,,
VOO,0,,,,,
AMRS,0,,,,,
CHTR,0,,,,,
FULL,1,1,,,,
SQI,0,,,,,
VTWO,0,,,,,
CCG,0,,,,,
MY,0,,,,,
DQ,0,,,,,
EFC,0,,,,,
EXAM,0,,,,,
HBM,0,,,,,
REMX,0,,,,,
PEK,1,1,,,,
XRS,0,,,,,
TOWR,0,,,,,
LYB,0,,,,,
AEGR,0,,,,,
BBRG,0,,,,,
BODY,0,,,,,
CCIH,0,,,,,
GAGA,0,,,,,
